session_id,avg_exclusivity,high_echo_pct,session_echo_risk,avg_doom_score,high_doom_pct,est_read_minutes,total_words_read,doom_scroll_risk,echo_risk_raw,doom_risk_raw,combined_risk_score,overall_risk,flag_pure_bubble,flag_heavy_doom,flag_double_risk,flag_long_session,flag_high_doom_concentration,recommendation
session_010,1.39,3.3,LOW,12.74,10.0,20.1,4023,LOW,12.68,23.28,19.04,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_011,2.53,20.0,MEDIUM,17.33,16.7,27.0,5404,HIGH,39.95,75.92,61.53,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_012,1.9,10.0,LOW,14.2,10.0,22.0,4393,LOW,24.88,40.02,33.96,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_013,1.76,10.0,LOW,13.26,16.7,15.8,3167,MEDIUM,21.53,29.24,26.16,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_014,1.36,6.7,LOW,15.44,23.3,30.0,6005,HIGH,11.96,54.24,37.33,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_015,2.02,6.7,LOW,16.71,20.0,28.4,5680,HIGH,27.75,68.81,52.39,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_016,1.49,6.7,LOW,15.18,30.0,27.4,5483,HIGH,15.07,51.26,36.78,LOW,0,1,0,0,0,Doom scroll risk: High proportion of distressing content in this session.
session_017,2.0,13.3,LOW,14.13,6.7,22.5,4505,LOW,27.27,39.22,34.44,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_018,2.35,13.3,MEDIUM,13.73,16.7,21.8,4358,MEDIUM,35.65,34.63,35.04,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_019,1.35,3.3,LOW,14.18,20.0,21.8,4370,MEDIUM,11.72,39.79,28.56,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_020,2.05,16.7,LOW,13.23,16.7,27.4,5487,MEDIUM,28.47,28.9,28.73,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_021,2.27,13.3,LOW,14.04,16.7,28.9,5773,MEDIUM,33.73,38.19,36.41,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_022,1.68,6.7,LOW,13.99,16.7,22.3,4466,MEDIUM,19.62,37.61,30.41,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_023,1.59,0.0,LOW,13.27,13.3,18.4,3676,LOW,17.46,29.36,24.6,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_024,2.0,10.0,LOW,14.52,13.3,28.7,5732,LOW,27.27,43.69,37.12,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_025,1.51,3.3,LOW,15.69,23.3,23.9,4775,HIGH,15.55,57.11,40.49,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_026,2.76,6.7,MEDIUM,15.88,33.3,20.1,4023,HIGH,45.45,59.29,53.75,HIGH,0,1,0,0,1,Doom scroll risk: High proportion of distressing content in this session.
session_027,2.37,10.0,MEDIUM,15.63,16.7,22.6,4519,MEDIUM,36.12,56.42,48.3,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_028,1.3,3.3,LOW,14.99,10.0,25.5,5099,MEDIUM,10.53,49.08,33.66,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_029,1.93,10.0,LOW,16.88,26.7,34.4,6881,HIGH,25.6,70.76,52.7,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_030,2.0,10.0,LOW,10.71,6.7,14.3,2863,LOW,27.27,0.0,10.91,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_031,1.42,6.7,LOW,12.17,6.7,17.0,3394,LOW,13.4,16.74,15.4,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_032,1.61,13.3,LOW,15.19,26.7,24.2,4831,HIGH,17.94,51.38,38.0,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_033,2.56,23.3,MEDIUM,14.83,20.0,29.1,5816,MEDIUM,40.67,47.25,44.62,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_034,1.59,10.0,LOW,14.33,23.3,22.4,4479,HIGH,17.46,41.51,31.89,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_035,1.77,20.0,LOW,16.76,23.3,24.8,4963,HIGH,21.77,69.38,50.34,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_036,1.95,16.7,LOW,16.81,23.3,25.5,5093,HIGH,26.08,69.95,52.4,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_037,1.87,10.0,LOW,14.86,23.3,27.7,5538,HIGH,24.16,47.59,38.22,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_038,1.72,6.7,LOW,14.02,10.0,23.4,4690,LOW,20.57,37.96,31.0,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_039,2.0,16.7,LOW,17.07,26.7,22.3,4463,HIGH,27.27,72.94,54.67,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_040,3.5,30.0,HIGH,14.34,10.0,22.1,4429,LOW,63.16,41.63,50.24,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_041,4.37,20.0,HIGH,13.56,10.0,24.3,4852,LOW,83.97,32.68,53.2,HIGH,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_042,3.8,43.3,HIGH,14.11,10.0,23.0,4607,LOW,70.33,38.99,51.53,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_043,2.73,20.0,MEDIUM,14.03,6.7,26.6,5318,LOW,44.74,38.07,40.74,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_044,3.16,26.7,HIGH,14.45,13.3,19.5,3899,LOW,55.02,42.89,47.74,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_045,3.24,26.7,HIGH,14.17,13.3,28.8,5753,LOW,56.94,39.68,46.58,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_046,2.64,20.0,MEDIUM,14.14,16.7,19.4,3886,MEDIUM,42.58,39.33,40.63,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_047,4.12,13.3,HIGH,16.31,23.3,18.3,3662,HIGH,77.99,64.22,69.73,HIGH,0,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_048,2.81,20.0,MEDIUM,12.16,10.0,22.2,4439,LOW,46.65,16.63,28.64,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_049,3.47,33.3,HIGH,13.06,10.0,24.7,4942,LOW,62.44,26.95,41.15,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_050,2.91,23.3,MEDIUM,14.1,13.3,19.8,3952,LOW,49.04,38.88,42.94,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_051,3.69,23.3,HIGH,16.91,23.3,27.8,5551,HIGH,67.7,71.1,69.74,HIGH,0,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_052,2.9,30.0,MEDIUM,15.47,13.3,25.3,5052,MEDIUM,48.8,54.59,52.27,HIGH,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_053,2.34,13.3,MEDIUM,12.79,13.3,19.6,3910,LOW,35.41,23.85,28.47,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_054,4.38,23.3,HIGH,16.68,20.0,23.3,4655,HIGH,84.21,68.46,74.76,HIGH,0,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_055,3.42,23.3,HIGH,12.31,10.0,16.7,3336,LOW,61.24,18.35,35.51,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_056,3.44,26.7,HIGH,15.22,16.7,19.6,3923,MEDIUM,61.72,51.72,55.72,HIGH,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_057,3.31,26.7,HIGH,15.25,30.0,18.4,3680,HIGH,58.61,52.06,54.68,HIGH,0,1,1,0,0,Critical: Session shows both echo chamber and high-distress content patterns.
session_058,2.57,13.3,MEDIUM,16.46,23.3,25.5,5102,HIGH,40.91,65.94,55.93,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_059,2.4,10.0,MEDIUM,13.54,10.0,11.4,2281,LOW,36.84,32.45,34.21,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_060,2.23,20.0,LOW,16.11,16.7,32.7,6545,MEDIUM,32.78,61.93,50.27,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_061,3.12,30.0,MEDIUM,14.76,23.3,26.8,5368,HIGH,54.07,46.44,49.49,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_062,1.96,13.3,LOW,14.9,16.7,20.8,4161,MEDIUM,26.32,48.05,39.36,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_063,3.13,30.0,MEDIUM,16.7,23.3,25.0,5005,HIGH,54.31,68.69,62.94,HIGH,1,0,0,0,1,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_064,4.1,26.7,HIGH,14.9,13.3,23.6,4728,MEDIUM,77.51,48.05,59.83,HIGH,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_065,2.92,23.3,MEDIUM,12.0,3.3,22.8,4556,LOW,49.28,14.79,28.59,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_066,3.41,23.3,HIGH,15.25,30.0,28.5,5700,HIGH,61.0,52.06,55.64,HIGH,0,1,1,0,0,Critical: Session shows both echo chamber and high-distress content patterns.
session_067,1.8,6.7,LOW,14.72,10.0,26.2,5232,MEDIUM,22.49,45.99,36.59,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_068,3.49,33.3,HIGH,13.75,20.0,25.7,5147,MEDIUM,62.92,34.86,46.08,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_069,3.97,33.3,HIGH,17.06,23.3,19.7,3940,HIGH,74.4,72.82,73.45,HIGH,1,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_070,5.04,23.3,HIGH,14.44,16.7,31.0,6191,MEDIUM,100.0,42.78,65.67,HIGH,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_071,3.47,36.7,HIGH,17.65,16.7,17.8,3553,HIGH,62.44,79.59,72.73,HIGH,1,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_072,3.03,26.7,MEDIUM,15.71,16.7,23.5,4704,MEDIUM,51.91,57.34,55.17,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_073,2.34,13.3,MEDIUM,12.38,6.7,21.1,4228,LOW,35.41,19.15,25.65,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_074,3.93,33.3,HIGH,15.69,13.3,28.8,5764,MEDIUM,73.44,57.11,63.64,HIGH,1,0,0,0,1,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_075,2.28,20.0,MEDIUM,15.04,13.3,17.7,3538,MEDIUM,33.97,49.66,43.38,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_076,4.5,20.0,HIGH,12.49,10.0,20.8,4150,LOW,87.08,20.41,47.08,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_077,2.25,13.3,LOW,13.52,13.3,19.4,3885,LOW,33.25,32.22,32.63,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_078,4.3,43.3,HIGH,12.64,13.3,22.5,4505,LOW,82.3,22.13,46.2,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_079,3.02,13.3,MEDIUM,15.38,16.7,26.7,5335,MEDIUM,51.67,53.56,52.8,HIGH,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_080,3.14,30.0,HIGH,11.75,6.7,22.8,4553,LOW,54.55,11.93,28.98,LOW,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_081,2.28,16.7,MEDIUM,13.83,16.7,23.4,4672,MEDIUM,33.97,35.78,35.06,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_082,2.38,20.0,MEDIUM,16.45,23.3,24.5,4909,HIGH,36.36,65.83,54.04,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_083,2.39,16.7,MEDIUM,12.92,6.7,25.7,5133,LOW,36.6,25.34,29.84,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_084,2.49,23.3,MEDIUM,13.96,13.3,20.4,4081,LOW,39.0,37.27,37.96,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_085,2.17,16.7,LOW,15.5,20.0,23.3,4667,MEDIUM,31.34,54.93,45.49,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_086,3.45,33.3,HIGH,16.12,20.0,19.6,3928,MEDIUM,61.96,62.04,62.01,HIGH,1,0,0,0,1,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_087,3.45,23.3,HIGH,14.53,10.0,36.1,7218,LOW,61.96,43.81,51.07,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_088,2.44,30.0,MEDIUM,13.5,6.7,16.3,3263,LOW,37.8,32.0,34.32,LOW,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_089,4.29,30.0,HIGH,12.45,16.7,27.0,5407,MEDIUM,82.06,19.95,44.79,MEDIUM,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_090,2.02,13.3,LOW,14.16,10.0,24.0,4790,LOW,27.75,39.56,34.84,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_091,2.72,20.0,MEDIUM,13.82,13.3,28.9,5789,LOW,44.5,35.67,39.2,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_092,2.54,16.7,MEDIUM,14.45,13.3,17.0,3398,LOW,40.19,42.89,41.81,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_093,3.02,16.7,MEDIUM,14.2,20.0,25.7,5133,MEDIUM,51.67,40.02,44.68,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_094,2.82,23.3,MEDIUM,15.94,20.0,25.9,5187,MEDIUM,46.89,59.98,54.74,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_095,2.29,20.0,MEDIUM,13.35,13.3,19.8,3955,LOW,34.21,30.28,31.85,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_096,2.04,13.3,LOW,13.53,13.3,26.3,5263,LOW,28.23,32.34,30.7,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_097,2.07,10.0,LOW,13.8,13.3,30.9,6184,LOW,28.95,35.44,32.84,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_098,2.79,26.7,MEDIUM,14.56,10.0,25.2,5045,MEDIUM,46.17,44.15,44.96,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_099,2.38,13.3,MEDIUM,14.43,6.7,22.3,4456,LOW,36.36,42.66,40.14,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_100,2.29,20.0,MEDIUM,13.72,16.7,18.4,3671,MEDIUM,34.21,34.52,34.4,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_101,2.21,10.0,LOW,14.86,20.0,24.9,4974,MEDIUM,32.3,47.59,41.47,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_102,3.26,20.0,HIGH,14.86,13.3,14.6,2912,MEDIUM,57.42,47.59,51.52,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_103,2.29,16.7,MEDIUM,14.61,20.0,18.9,3774,MEDIUM,34.21,44.72,40.52,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_104,2.21,13.3,LOW,15.94,16.7,23.5,4696,MEDIUM,32.3,59.98,48.91,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_105,2.64,16.7,MEDIUM,13.26,16.7,38.7,7741,MEDIUM,42.58,29.24,34.58,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_106,2.75,26.7,MEDIUM,15.66,23.3,27.1,5411,HIGH,45.22,56.77,52.15,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_107,2.03,13.3,LOW,14.08,16.7,20.5,4100,MEDIUM,27.99,38.65,34.39,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_108,2.87,23.3,MEDIUM,11.62,6.7,23.4,4683,LOW,48.09,10.44,25.5,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_109,4.22,33.3,HIGH,15.43,23.3,30.9,6188,HIGH,80.38,54.13,64.63,HIGH,1,0,1,0,0,Critical: Session shows both echo chamber and high-distress content patterns.
session_110,2.62,20.0,MEDIUM,16.34,10.0,24.8,4957,HIGH,42.11,64.56,55.58,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_111,2.02,16.7,LOW,13.52,13.3,29.1,5828,LOW,27.75,32.22,30.43,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_112,2.46,20.0,MEDIUM,14.32,10.0,20.5,4108,LOW,38.28,41.4,40.15,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_113,2.75,23.3,MEDIUM,14.73,23.3,25.9,5171,HIGH,45.22,46.1,45.75,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_114,1.73,10.0,LOW,14.55,13.3,20.4,4076,MEDIUM,20.81,44.04,34.75,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_115,2.94,26.7,MEDIUM,13.88,16.7,27.7,5549,MEDIUM,49.76,36.35,41.71,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_116,4.14,33.3,HIGH,14.14,13.3,25.7,5146,LOW,78.47,39.33,54.99,HIGH,1,0,0,0,0,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_117,2.55,23.3,MEDIUM,13.89,10.0,15.3,3057,LOW,40.43,36.47,38.05,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_118,3.76,30.0,HIGH,15.9,16.7,21.3,4264,MEDIUM,69.38,59.52,63.46,HIGH,1,0,0,0,1,Echo chamber risk: Session vocabulary heavily concentrated in one community.
session_119,1.73,10.0,LOW,11.56,6.7,21.7,4334,LOW,20.81,9.75,14.17,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_120,1.45,3.3,LOW,12.57,6.7,24.3,4860,LOW,14.11,21.33,18.44,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_121,1.77,6.7,LOW,11.89,13.3,24.9,4978,LOW,21.77,13.53,16.83,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_122,2.82,20.0,MEDIUM,14.65,16.7,21.3,4260,MEDIUM,46.89,45.18,45.86,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_123,2.02,6.7,LOW,15.46,16.7,28.2,5632,MEDIUM,27.75,54.47,43.78,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_124,1.83,3.3,LOW,14.17,10.0,22.3,4465,LOW,23.21,39.68,33.09,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_125,2.31,6.7,MEDIUM,15.75,16.7,22.8,4568,MEDIUM,34.69,57.8,48.56,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_126,2.07,16.7,LOW,13.75,10.0,20.5,4109,LOW,28.95,34.86,32.5,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_127,1.61,6.7,LOW,14.11,13.3,16.3,3264,LOW,17.94,38.99,30.57,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_128,2.0,6.7,LOW,13.35,6.7,28.8,5770,LOW,27.27,30.28,29.08,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_129,2.1,10.0,LOW,15.45,13.3,19.0,3796,MEDIUM,29.67,54.36,44.48,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_130,2.94,20.0,MEDIUM,14.48,16.7,23.9,4786,MEDIUM,49.76,43.23,45.84,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_131,1.64,10.0,LOW,15.48,13.3,29.8,5959,MEDIUM,18.66,54.7,40.28,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_132,2.22,6.7,LOW,14.96,6.7,18.6,3710,MEDIUM,32.54,48.74,42.26,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_133,1.73,10.0,LOW,10.97,3.3,23.6,4725,LOW,20.81,2.98,10.11,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_134,1.36,0.0,LOW,12.5,10.0,17.6,3523,LOW,11.96,20.53,17.1,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_135,1.59,13.3,LOW,17.45,16.7,20.4,4073,HIGH,17.46,77.29,53.36,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_136,3.17,16.7,HIGH,17.18,13.3,25.7,5145,HIGH,55.26,74.2,66.62,HIGH,0,0,1,0,1,Critical: Session shows both echo chamber and high-distress content patterns.
session_137,1.49,6.7,LOW,14.8,13.3,18.2,3641,MEDIUM,15.07,46.9,34.17,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_138,1.76,3.3,LOW,13.43,13.3,20.8,4154,LOW,21.53,31.19,27.33,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_139,2.84,13.3,MEDIUM,12.36,23.3,19.6,3928,HIGH,47.37,18.92,30.3,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_140,0.86,0.0,LOW,13.24,10.0,21.3,4261,LOW,0.0,29.01,17.41,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_141,1.53,10.0,LOW,12.86,13.3,18.9,3772,LOW,16.03,24.66,21.21,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_142,1.37,3.3,LOW,15.82,30.0,21.7,4346,HIGH,12.2,58.6,40.04,MEDIUM,0,1,0,0,1,Doom scroll risk: High proportion of distressing content in this session.
session_143,2.18,13.3,LOW,14.0,13.3,22.4,4480,LOW,31.58,37.73,35.27,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_144,1.83,10.0,LOW,15.23,16.7,27.2,5437,MEDIUM,23.21,51.83,40.38,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_145,1.83,10.0,LOW,14.12,20.0,15.4,3090,MEDIUM,23.21,39.11,32.75,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_146,1.48,6.7,LOW,16.16,26.7,25.4,5080,HIGH,14.83,62.5,43.43,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_147,3.09,23.3,MEDIUM,19.43,26.7,24.0,4797,HIGH,53.35,100.0,81.34,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_148,1.25,3.3,LOW,12.63,16.7,17.7,3546,MEDIUM,9.33,22.02,16.94,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_149,2.52,20.0,MEDIUM,12.6,3.3,23.0,4609,LOW,39.71,21.67,28.89,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_150,1.31,3.3,LOW,14.35,16.7,15.9,3180,MEDIUM,10.77,41.74,29.35,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_151,1.72,3.3,LOW,14.9,13.3,27.4,5470,MEDIUM,20.57,48.05,37.06,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_152,1.69,10.0,LOW,14.21,16.7,21.3,4264,MEDIUM,19.86,40.14,32.03,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
